"Desc","Link","Make","Model","Year","Engine.Cap","Transm","Mileage","Color","Car.Type","Updated","Price"
"2014 PERODUA VIVA 1.0 S AUTO","/new-cars/1449205/2014-perodua-viva-1-0-s-auto.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,34136
"PERODUA VIVA 1.0 S SERIES Special Offer","/new-cars/1448225/perodua-viva-1-0-s-series-special-offer.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-07-03,34386
"PERODUA VIVA S SERIES (A)","/new-cars/1443763/perodua-viva-s-series-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,34286
"PERODUA VIVA S SERIES (A) 2014","/new-cars/1442449/perodua-viva-s-series-a-2014.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35186
"PERODUA VIVA 1.0 S SERIES (A) 2014","/new-cars/1439501/perodua-viva-1-0-s-series-a-2014.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35186
"PERODUA VIVA 1.0 S SERIES (A) 2014","/new-cars/1437401/perodua-viva-1-0-s-series-a-2014.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"2014 PERODUA VIVA 1.0 S AUTO","/new-cars/1433664/2014-perodua-viva-1-0-s-auto.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 (A) S Series Baru -14","/new-cars/1429474/perodua-viva-1-0-a-s-series-baru-14.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-15,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1428108/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-15,35174
"New Perodua VIVA 1.0 (A) S with SECURITY TINTED","/new-cars/1425330/new-perodua-viva-1-0-a-s-with-security-tinted.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-07-03,34474
"2014 PERODUA VIVA 1.0 S AUTO","/new-cars/1424317/2014-perodua-viva-1-0-s-auto.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,33800
"Perodua Viva S.Series 1.0 Auto","/new-cars/1422927/perodua-viva-s-series-1-0-auto.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-10-13,35174
"VIVA 1.0 S SERIES AUTO ","/new-cars/1419652/viva-1-0-s-series-auto-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-15,34674
"2014 PERODUA VIVA 1.0 S AUTO","/new-cars/1416221/2014-perodua-viva-1-0-s-auto.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,34300
"2014 PERODUA VIVA 1.0 S AUTO","/new-cars/1414510/2014-perodua-viva-1-0-s-auto.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,34500
"2014 PERODUA VIVA 1.0 S AUTO","/new-cars/1414440/2014-perodua-viva-1-0-s-auto.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,34500
"VIVA 1.0 AUTO S SERIES","/new-cars/1403339/viva-1-0-auto-s-series.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-07-03,34674
"Perodua Viva 1.0 S Auto (A)","/new-cars/1399713/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1399712/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1393186/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1393136/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-15,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1393073/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1391128/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1390852/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-07-03,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1390681/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-15,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1390598/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-09-02,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1390588/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1386260/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1386258/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1386156/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1386151/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1386145/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-07-03,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1386143/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1384904/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1384884/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-10-01,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1382247/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-10-01,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1379635/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1379599/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1379465/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,35186
"Perodua Viva 1.0 S Auto (A)","/new-cars/1378289/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1378285/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-07-03,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1376818/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-15,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1376817/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-15,35174
"Perodua Viva 1.0 S Series","/new-cars/1373888/perodua-viva-1-0-s-series.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"PERODUA VIVA 1.0 S SERIES (A) 2014","/new-cars/1373485/perodua-viva-1-0-s-series-a-2014.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-07-24,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1363353/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-15,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1363352/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A) DISCOUNT 2K, ,READY STOCK","/new-cars/1361867/perodua-viva-1-0-s-auto-a-discount-2k-ready-stock.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,33174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1359847/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1359668/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1359584/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1359341/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-30,35174
"Perodua Viva 1.0 S-Series","/new-cars/1355037/perodua-viva-1-0-s-series.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,33674
"Perodua Viva 1.0 (a) S Series Standard","/new-cars/1353026/perodua-viva-1-0-a-s-series-standard.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,33174
"Perodua Viva 1.0 (a) S Series Standard","/new-cars/1353007/perodua-viva-1-0-a-s-series-standard.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,32174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1352829/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"Perodua Viva 1.0 S Auto (A)","/new-cars/1350666/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-30,35174
"new perodua viva S Series","/new-cars/1346404/new-perodua-viva-s-series.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-15,35174
"PERODUA VIVA S SERIES 1.0","/new-cars/1331765/perodua-viva-s-series-1-0.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-13,35174
"viva 1.0 auto s series 13 new","/new-cars/1307586/viva-1-0-auto-s-series-13-new.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,34674
"FREE REVERSE CAMERA DVD FOR PERODUA VIVA ELITE 1.0 AUTO S SERIES","/new-cars/1303220/free-reverse-camera-dvd-for-perodua-viva-elite-1-0-auto-s-series.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,38274
"FREE DVD PLAYER REVERSE CAMERA FOR PERODUA VIVA 1.0 AUTO S SERIES ","/new-cars/1303214/free-dvd-player-reverse-camera-for-perodua-viva-1-0-auto-s-series-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,33674
"viva 1.0 auto s series 13","/new-cars/1267962/viva-1-0-auto-s-series-13.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-15,34774
"viva 1.0 auto s series 13","/new-cars/1267960/viva-1-0-auto-s-series-13.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,34774
"[ New - PERODUA VIVA - 1.0 S - Series , Super Hi Discount ,Super Hi Trade In @ Rm 0 Deposit ,Easy Approval ]","/new-cars/1261796/-new-perodua-viva-1-0-s-series-super-hi-discount-super-hi-trade-in-rm-0-deposit-easy-approval-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2015-04-13,35174
"New Perodua Viva S-series ","/new-cars/1258844/new-perodua-viva-s-series-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-14,34074
"Perodua Viva 1.0 S Auto (A)","/new-cars/1251679/perodua-viva-1-0-s-auto-a-.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-15,35174
"2014 Perodua Viva Elite 1.0 RAYA OFFER","/new-cars/1591863/2014-perodua-viva-elite-1-0-raya-offer.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-09-08,38274
"PERODUA VIVA EZ AUTO+FREE 3 YEARS SERVICE","/new-cars/1512931/perodua-viva-ez-auto-free-3-years-service.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-30,33286
"PERODUA ALZA EZ + 3 YEARS FREE SERVICE","/new-cars/1432713/perodua-alza-ez-3-years-free-service.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-30,34174
"PERODUA VIVA EZ AUTO+FREE 3 YEARS SERVICE","/new-cars/1410171/perodua-viva-ez-auto-free-3-years-service.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-30,34174
"PERODUA VIVA EZ AUTO+FREE 3 YEARS SERVICE","/new-cars/1410164/perodua-viva-ez-auto-free-3-years-service.html","Perodua","Viva","2014","989cc","Automatic",NA,"Others","NewCar",2014-06-30,34674
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1560930/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-08-03,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1553309/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-07-26,37886
"2014 PERODUA VIVA 1.0 ELITE MANUAL","/new-cars/1550112/2014-perodua-viva-1-0-elite-manual.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-07-26,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1508096/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-07-14,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1496132/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1496115/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1496114/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1496101/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1496097/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1496093/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1496092/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1496005/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1496000/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495999/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495998/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495996/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495995/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495898/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495896/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495895/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495892/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495884/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495871/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,39600
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495865/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,39600
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495864/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,39600
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495768/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495766/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495763/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495762/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495759/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495755/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495699/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,39600
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495698/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,39600
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495696/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,39600
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495691/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,39600
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495586/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495584/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495583/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495581/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495565/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-14,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495560/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,39600
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495559/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,39600
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495558/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,39600
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495453/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495447/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495445/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-13,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495444/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495441/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495436/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495337/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495334/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495332/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495331/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495284/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-14,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495283/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-14,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495282/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-14,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495281/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-14,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495226/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495217/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495216/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495214/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495212/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495211/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495086/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495081/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495080/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495079/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495022/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495010/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
"Perodua Viva 1.0 Elite Manual (M)","/new-cars/1495009/perodua-viva-1-0-elite-manual-m-.html","Perodua","Viva","2014","989cc","Manual",NA,"Others","NewCar",2014-06-15,37886
